,keys,values
2025,Dark Water,"['Bee Movie', 'North Country', 'Office Space', 'Dark Water']"
2026,Murderball,"['Murderball', 'Rear Window', 'Kickboxer', 'Key Largo', 'My Left Foot: The Story of Christy Brown']"
2027,The Dukes of Hazzard,"['Striptease', ""Carlito's Way"", 'After Hours', 'Roxanne', ""Grandma's Boy"", 'The Tailor of Panama', 'Nothing But Trouble', 'Closer', 'Dead Calm', 'In the Company of Men', 'Saw III', 'About Schmidt', 'Romeo + Juliet', 'Hostel', 'The Man Who Fell to Earth', 'The Girl Next Door', 'Sånger från andra våningen', 'Stage Beauty', 'Eastern Promises', 'Scary Movie 4', 'Invasion of the Body Snatchers', 'Blue Collar Comedy Tour: The Movie', 'The People vs. Larry Flynt', 'Sixteen Candles', 'Forgetting Sarah Marshall', 'Le professionnel', 'The 40 Year Old Virgin', 'Believers', 'Beautiful People', 'Waking the Dead', 'Das Experiment', 'The Dukes of Hazzard', 'Nineteen Eighty-Four', 'The Juror', 'Single White Female', 'Body Heat', 'Chasing Liberty', 'The Color of Money', ""White Men Can't Jump"", 'Dracula', 'Dorm Daze 2', 'The Omen', 'Van Wilder', 'A History of Violence', 'The Heartbreak Kid', '21 Grams', 'Ken Park', 'Se, jie', 'The Cider House Rules', 'Lethal Weapon', 'The Full Monty', 'The Unbearable Lightness of Being', 'Fast Times at Ridgemont High', 'End of Days', 'The Lookout', 'Le retour de Martin Guerre', 'Prozac Nation', 'The Three Burials of Melquiades Estrada', 'The Quiet', 'Witness', 'Rumor Has It...', 'Knocked Up', ""You Don't Mess with the Zohan"", 'Saw IV', 'Red Sonja', 'Desperado', 'American Pie', 'Cat People']"
2028,Family Guy Presents Stewie Griffin: The Untold Story,"['Cold Comfort Farm', 'Redemption: The Stan Tookie Williams Story', 'Doctor Who', ""A Hard Rain's Gonna Fall"", 'Wallace and Gromit in A Close Shave', 'Family Guy Presents Stewie Griffin: The Untold Story', ""Futurama: Bender's Big Score"", 'Babylon 5: The River of Souls', 'O', ""Lemony Snicket's A Series of Unfortunate Events"", 'The Mists of Avalon', 'Some Folks Call It a Sling Blade', 'American Pie Presents The Naked Mile', 'And the Band Played On', 'Creature Comforts', 'The Animatrix', 'Aladdin and the King of Thieves', 'A Grand Day Out with Wallace and Gromit']"
2029,The Squid and the Whale,"['Out of Time', 'The Age of Innocence', 'Mystic Pizza', 'Presumed Innocent', 'Double Indemnity', 'Mujeres al borde de un ataque de nervios', 'The Hours', 'The Painted Veil', 'The Squid and the Whale', 'Wedding Crashers', 'Stalker', 'French Kiss', 'Secret Window', 'The Women', 'Kramer vs. Kramer', 'Quills', 'Love Actually', 'Serving Sara', 'Stranger Than Fiction', '8 femmes', 'The End of the Affair', '1408', 'Code 46', 'Shattered Glass', 'Lawn Dogs', 'Unfaithful', 'Lake Placid', 'Following', ""We Don't Live Here Anymore"", 'As Good as It Gets', 'Kafka', 'My Life Without Me', 'Wall Street', 'Under the Tuscan Sun', 'In the Land of Women', 'Bringing Down the House', 'Le retour de Martin Guerre', 'Crimes and Misdemeanors', 'Fa yeung nin wa', 'The Whole Nine Yards', 'Sweet Home Alabama', 'Lust och fägring stor', 'Trzy kolory: Bialy', ""Breakfast at Tiffany's"", 'Desperately Seeking Susan', 'The Graduate', 'Naked Lunch', 'National Treasure: Book of Secrets', 'Closer']"
2030,Derailed,"['Straw Dogs', 'Roxanne', 'Death and the Maiden', 'Frenzy', 'The Accused', 'Hotel Rwanda', 'Alpha Dog', 'Kickboxer', 'Gothika', 'About Schmidt', 'Wedding Crashers', 'The Girl Next Door', 'The Last Kiss', 'La pianiste', 'Le professionnel', 'Shi mian mai fu', 'Dirty Pretty Things', 'Derailed', 'Fast Food Fast Women', 'Tystnaden', 'Not Another Teen Movie', 'Believers', 'Licence to Kill', 'Das Experiment', 'The Hills Have Eyes II', '...And Justice for All.', 'Chasing Liberty', 'A Little Princess', 'Atonement', 'Marie Antoinette', 'Hatuna Meuheret', 'The Quick and the Dead', 'Dogville', 'High Plains Drifter', 'Se, jie', 'The Constant Gardener', 'Stakeout', 'Miss Pettigrew Lives for a Day', 'The Faculty', 'The Hills Have Eyes', ""The General's Daughter"", 'Amores Possíveis', 'The Crow: Salvation', 'Per qualche dollaro in più', ""Rosemary's Baby"", 'Deliverance', 'Doctor Zhivago', 'Saw IV', 'The Gift', 'Chaplin']"
2031,Fun with Dick and Jane,"['South Park: Bigger Longer & Uncut', 'Shallow Grave', 'Hung fan kui', ""Jeux d'enfants"", 'The Original Kings of Comedy', 'Fun with Dick and Jane', ""Jumpin' Jack Flash"", 'The Myth of Fingerprints', 'I Heart Huckabees', 'El ángel exterminador', 'Yat goh hiu yan', 'Beavis and Butt-Head Do America', ""Romy and Michele's High School Reunion"", 'Lock, Stock and Two Smoking Barrels', 'Jackie Brown', 'Very Bad Things', ""Roseanna's Grave"", 'Imaginary Heroes', 'Mars Attacks!', 'Barton Fink', 'Death at a Funeral', 'Fargo', 'The Chumscrubber']"
2032,Tsotsi,"['48 Hrs.', 'The Usual Suspects', 'Mou gaan dou', 'Ghostbusters II', ""L'enfant"", '3 Men and a Baby', 'Raising Arizona', ""Look Who's Talking"", 'Point Break', 'Taxi Driver', 'Tokyo Godfathers', 'Session 9', 'Tsotsi', 'The Dirty Dozen', 'Matchstick Men', 'Willow', 'Taxi', 'The Rugrats Movie', 'Take the Money and Run', 'Labyrinth', ""Look Who's Talking Too"", 'Cidade de Deus', 'The River Wild', 'August Rush', 'Blue Streak', 'Dirty Harry']"
2033,L'enfant,"['Blast from the Past', 'Jack Frost', 'Dumbo', 'White Noise', 'Junebug', 'Ghostbusters II', 'The Forgotten', 'Monster', ""L'enfant"", '3 Men and a Baby', 'The Lost Boys', 'Terminator 2: Judgment Day', 'Raising Arizona', 'Catch Me If You Can', ""Look Who's Talking"", 'One Fine Day', 'Beautiful Thing', 'Blow Dry', 'Tokyo Godfathers', 'The Grifters', 'Session 9', 'Role Models', 'Tsotsi', 'Shooting Fish', 'Les quatre cents coups', 'City by the Sea', 'The Bourne Identity', 'Willow', 'Prime', 'The Karate Kid, Part II', 'Psycho', 'The Rugrats Movie', 'Dumb & Dumber', 'Labyrinth', ""Look Who's Talking Too"", 'Swing Kids', 'Glengarry Glen Ross', 'August Rush', 'Artificial Intelligence: AI', 'Kazaam']"
2034,A Prairie Home Companion,"['The King of Comedy', 'El mariachi', 'Yankee Doodle Dandy', 'Step Brothers', 'Pump Up the Volume', 'The Phantom of the Opera', ""Coal Miner's Daughter"", 'A Prairie Home Companion', ""My Best Friend's Wedding""]"
2035,American Dreams,"['Big Daddy', 'The Out-of-Towners', 'Home Alone 2: Lost in New York', 'Save the Last Dance', 'The Guardian', 'One Fine Day', 'Fools Rush In', 'The Bone Collector', 'Hope and Glory', 'How to Lose a Guy in 10 Days', 'Frankenstein', 'Empire of the Sun', 'Capturing the Friedmans', 'Raging Bull', 'Boiler Room', 'Splash', ""My Best Friend's Wedding"", 'The In-Laws', 'Regarding Henry', 'Dirty Dancing: Havana Nights', 'Alvin and the Chipmunks', 'Mickey Blue Eyes', 'American Wedding', 'Father of the Bride', 'Dan in Real Life', 'Mad Hot Ballroom', 'Monsoon Wedding', 'Four Weddings and a Funeral', 'Kindergarten Cop', 'Ghost Busters', 'Lionheart', 'American Dreams', 'Au revoir les enfants', 'Midnight Cowboy', ""West Beyrouth (À l'abri les enfants)"", 'Enchanted', 'Escape from New York', 'Moonstruck', ""Who's That Girl"", 'Annie', 'Welcome to the Dollhouse', 'The Money Pit', ""Gentleman's Agreement"", 'Coming to America', 'Ghost', 'The Last Kiss', 'The Last Emperor', 'Private Benjamin', 'The Night Listener', 'Finding Forrester', 'End of Days', 'The Joy Luck Club', 'The Wiz', 'Wo hu cang long', 'Desperately Seeking Susan', 'The Philadelphia Story', ""Muriel's Wedding"", 'Gangs of New York', 'Autumn in New York', 'Ghostbusters II', 'School Ties', 'Stranger Than Paradise', 'Sea of Love', 'The Prince of Tides', 'American Gangster', 'Everyone Says I Love You', 'P.S.', 'King Kong', 'Fast Food Fast Women', 'Serpico', 'Mighty Aphrodite', 'I Am Legend', 'Big', 'The Warriors', 'The Weather Man', 'Arsenic and Old Lace', 'Flubber', 'Hello, Dolly!', 'A Home at the End of the World', 'To Wong Foo Thanks for Everything, Julie Newmar']"
2036,Who Killed the Electric Car?,"['The Air I Breathe', 'The Adventures of Pluto Nash', 'Who Killed the Electric Car?', 'Impostor', 'Timecop', 'Taps']"
2037,Wordplay,"['Wordplay', 'The Life and Death of Peter Sellers', 'Cube', 'Man on the Moon']"
2038,The Night Listener,"['The Grapes of Wrath', 'Big Daddy', 'The Out-of-Towners', 'Home Alone 2: Lost in New York', 'Save the Last Dance', 'Die Blechtrommel', 'Forrest Gump', 'The Terminal', 'One Fine Day', 'Fools Rush In', 'The Bone Collector', 'Wag the Dog', 'How to Lose a Guy in 10 Days', 'Gone with the Wind', 'Capturing the Friedmans', 'Raging Bull', 'Payback', 'Splash', 'Leaving Las Vegas', 'Striptease', 'The In-Laws', 'Regarding Henry', 'Red Dragon', 'Alvin and the Chipmunks', 'Catch-22', 'Murder on the Orient Express', 'Dan in Real Life', 'Mad Hot Ballroom', 'Ringu', 'Dracula', 'The Railway Children', 'Chitty Chitty Bang Bang', 'Ghost Busters', 'Lionheart', 'American Dreams', 'Cold Mountain', 'Midnight Cowboy', 'Family Plot', 'Enchanted', 'To Kill a Mockingbird', 'The Witches', 'The Last of the Mohicans', 'Escape from New York', 'Moonstruck', ""Who's That Girl"", 'The Hunchback of Notre Dame', 'Little Women', 'House of Sand and Fog', 'Annie', 'The Man Who Fell to Earth', 'Doctor Dolittle', ""Gentleman's Agreement"", 'Mutiny on the Bounty', 'Coming to America', 'Shaft', 'Ghost', 'Waking the Dead', 'The Night Listener', 'Emma', 'End of Days', 'There Will Be Blood', 'Sense and Sensibility', 'The Wiz', 'Jumper', 'Desperately Seeking Susan', 'Fahrenheit 451', 'Gangs of New York', 'Harry Potter and the Prisoner of Azkaban', 'Autumn in New York', 'Noel', 'Ghostbusters II', 'Stranger Than Paradise', 'Sea of Love', 'The Prince of Tides', 'American Gangster', 'Everyone Says I Love You', 'King Kong', 'Fast Food Fast Women', 'Terms of Endearment', 'Treasure Island', ""Harry Potter and the Sorcerer's Stone"", 'Serpico', 'Mighty Aphrodite', 'The Great Train Robbery', 'I Am Legend', 'Big', 'The Warriors', 'The Weather Man', 'Lolita', 'Arsenic and Old Lace', ""The Making of 'Along Came a Spider'"", 'Hello, Dolly!', 'A Home at the End of the World', 'To Wong Foo Thanks for Everything, Julie Newmar', 'Naked Lunch']"
2039,Tenacious D in The Pick of Destiny,"['Tenacious D in The Pick of Destiny', 'Drumline', 'Babylon 5: In the Beginning', 'Stop Making Sense']"
2040,Ghost Rider,"['The Inspector General', 'Jagged Edge', 'Shanghai Noon', 'The Parent Trap', 'Ghost Rider']"
2041,Futurama: Bender's Big Score,"['Cold Comfort Farm', 'Redemption: The Stan Tookie Williams Story', 'Doctor Who', ""A Hard Rain's Gonna Fall"", 'Wallace and Gromit in A Close Shave', 'Family Guy Presents Stewie Griffin: The Untold Story', ""Futurama: Bender's Big Score"", 'Babylon 5: The River of Souls', 'O', ""Lemony Snicket's A Series of Unfortunate Events"", 'The Mists of Avalon', 'Some Folks Call It a Sling Blade', 'American Pie Presents The Naked Mile', 'And the Band Played On', 'Creature Comforts', 'The Animatrix', 'Aladdin and the King of Thieves', 'A Grand Day Out with Wallace and Gromit']"
2042,Cloverfield,"['Godzilla, King of the Monsters!', 'Tremors', 'Fire in the Sky', 'The X Files', 'Plan 9 from Outer Space', 'Cloverfield', 'How the Grinch Stole Christmas', 'Scooby Doo 2: Monsters Unleashed', 'Cocoon', 'Resident Evil: Apocalypse', 'The Man Who Fell to Earth', 'Gojira', 'Village of the Damned', 'Alien Nation', 'Gojira ni-sen mireniamu', 'Possession', 'Indiana Jones and the Kingdom of the Crystal Skull', 'Alien', 'Men in Black', 'Gremlins', 'Lost in Space', 'Feast', 'Stardust Memories', 'Jimmy Neutron: Boy Genius', 'Aliens', 'Species', 'Lilo & Stitch', 'Muppets from Space', 'The Fifth Element', 'Repo Man', 'Nosferatu, eine Symphonie des Grauens', 'Alien³', 'The Descent', 'Gremlins 2: The New Batch', '*batteries not included', 'War of the Worlds', 'Howard the Duck', 'They Live', 'The Blair Witch Project', 'Monsters, Inc.', 'Star Trek: The Motion Picture', 'Underworld: Evolution', 'The Adventures of Buckaroo Banzai Across the 8th Dimension', 'E.T.: The Extra-Terrestrial', 'K-PAX', 'Titan A.E.', '20 Million Miles to Earth', 'AVP: Alien vs. Predator', 'Galaxy Quest', 'The Little Shop of Horrors', 'The Trollenberg Terror', 'Dark Star', 'Close Encounters of the Third Kind', 'Chicken Little', 'Slither', 'Sien nui yau wan', 'Starman', 'What Planet Are You From?']"
2043,Hellboy II: The Golden Army,"['The Crow', 'Garfield: A Tail of Two Kitties', 'Batman Begins', 'Trois couleurs: Rouge', 'Todo sobre mi madre', 'Mystery Men', 'The Cable Guy', 'Garden State', 'The Boondock Saints', 'The Fisher King', 'The Incredibles', 'The Iron Giant', 'Hellboy II: The Golden Army', 'Uncle Buck', 'One Fine Day', 'Lord of the Flies', 'Lost in Translation', 'The AristoCats', 'While You Were Sleeping', 'Dragon Ball Z', 'Dances with Wolves', 'Homeward Bound: The Incredible Journey', 'Men in Black', 'X-Men', 'Easy Rider', ""Logan's Run"", 'Cidade dos Homens', 'Stand by Me', 'Austin Powers: International Man of Mystery', 'Majo no takkyûbin', 'The Land Before Time', 'Friends with Money', 'Notting Hill', 'Stay', 'Nell', 'Knockaround Guys', 'Fried Green Tomatoes', 'Harry Potter and the Order of the Phoenix', 'The Family Stone', 'Diamonds Are Forever', 'Batman Returns', 'Beautiful Girls', 'Step Brothers', 'Prime', 'Star Trek: Generations', 'Unbreakable', 'The Sisterhood of the Traveling Pants', 'Spider-Man', 'Hiroshima mon amour', 'The Mask of Zorro', 'E.T.: The Extra-Terrestrial', 'Hitch', 'Mean Creek', 'Superman II', 'Au revoir les enfants', 'Midnight Cowboy', ""Cat's Eye"", 'Superman', 'Swing Kids', 'Glory Road', 'The Dark Knight', 'Murder by Numbers', 'The Bucket List', 'Sling Blade', 'Clerks.']"
2044,Indiana Jones and the Kingdom of the Crystal Skull,"['Vacation', 'My Big Fat Greek Wedding', 'Fire in the Sky', 'Plan 9 from Outer Space', 'Cloverfield', 'Saw III', 'Maverick', 'Cocoon', 'Transporter 2', 'The Man Who Fell to Earth', 'A Shot in the Dark', 'Harry Potter and the Chamber of Secrets', 'Village of the Damned', 'Hellraiser: Bloodline', 'Alien Nation', 'Gojira ni-sen mireniamu', 'Before Sunset', 'Indiana Jones and the Kingdom of the Crystal Skull', 'Alien', 'Men in Black', 'Lost in Space', 'Police Academy 6: City Under Siege', 'The Legend of Zorro', 'Bad Boys II', 'Stardust Memories', 'The Naked Gun 2½: The Smell of Fear', 'Camp', 'Jimmy Neutron: Boy Genius', 'Aliens', 'Species', 'Go', 'Lilo & Stitch', 'Manon des sources', 'Muppets from Space', 'Ging chat goo si 3: Chiu kup ging chat', 'Shrek 2', 'Godzilla', ""City Slickers II: The Legend of Curly's Gold"", 'The Fifth Element', 'Repo Man', 'Highlander III: The Sorcerer', 'Christmas Vacation', 'Rocky III', 'Alien³', 'Lara Croft Tomb Raider: The Cradle of Life', '*batteries not included', 'Bride of Frankenstein', 'The Gods Must Be Crazy II', 'War of the Worlds', 'Howard the Duck', 'They Live', 'Star Trek: The Motion Picture', 'Kung Fu Panda', 'Kung fu', 'The Adventures of Buckaroo Banzai Across the 8th Dimension', 'E.T.: The Extra-Terrestrial', 'K-PAX', 'Titan A.E.', 'Superman II', ""Look Who's Talking Too"", 'AVP: Alien vs. Predator', 'Rambo: First Blood Part II', 'Galaxy Quest', 'The Trollenberg Terror', 'Dark Star', 'Close Encounters of the Third Kind', 'Duo luo tian shi', 'Secrets & Lies', 'Chicken Little', 'Slither', 'The X Files', 'Starman', 'What Planet Are You From?']"
2045,Slumdog Millionaire,"['Octopussy', 'The Darjeeling Limited', 'Gandhi', 'Slumdog Millionaire', 'Indiana Jones and the Temple of Doom', 'Mildred Pierce']"
2046,A Bronx Tale,"[""Carlito's Way"", 'Blast from the Past', 'Donnie Brasco', 'Running on Empty', 'White Noise', 'Star Wars: Episode VI - Return of the Jedi', 'Mean Girls', 'Magnolia', 'Walkabout', 'Elf', 'Two for the Money', 'What Happens in Vegas', 'School Ties', 'Riding in Cars with Boys', 'The Man Without a Face', 'Parenthood', 'Mickey Blue Eyes', 'Nuovo Cinema Paradiso', 'Mitt liv som hund', ""Can't Hardly Wait"", 'Hook', 'Yankee Doodle Dandy', 'Bom yeoreum gaeul gyeoul geurigo bom', 'Les triplettes de Belleville', 'Lucas', 'The Godfather', 'A Bronx Tale', 'Ginger Snaps', 'Varsity Blues', 'Me and You and Everyone We Know', 'Casino', 'Big Fish', 'The Yearling', 'My Blue Heaven', 'Biloxi Blues', 'Son of Rambow', 'Stand by Me', 'Les quatre cents coups', 'City by the Sea', 'Goodfellas', 'Knockaround Guys', ""Charlie's Angels: Full Throttle"", 'Bound', 'Unbreakable', 'Finding Forrester', 'Dirty Dancing', 'Mermaids', 'A Guide to Recognizing Your Saints', 'Ghost World', 'Searching for Bobby Fischer', 'A Little Romance', 'The Good Shepherd', ""Don't Tell Mom the Babysitter's Dead"", 'In the Name of the Father', 'The Dream Catcher', 'Sky High', 'Indiana Jones and the Last Crusade', 'The Three Musketeers', 'Rushmore', ""La marche de l'empereur"", 'A River Runs Through It']"
2047,Carlito's Way,"['Apollo 13', 'Key Largo', 'Saw III', 'Now and Then', 'The Freshman', 'Sånger från andra våningen', 'Saturday Night Fever', 'Casino', 'Maid in Manhattan', 'The 40 Year Old Virgin', 'Goodfellas', 'Bound', ""White Men Can't Jump"", 'A History of Violence', 'Casablanca', 'Prozac Nation', 'The Quiet', 'Boogie Nights', 'Desperado', 'The Full Monty', 'Red Sonja', 'Closer', 'Striptease', 'Cat People', ""Carlito's Way"", 'Roxanne', 'Dead Calm', 'Romeo + Juliet', 'Mickey Blue Eyes', 'Stage Beauty', 'Invasion of the Body Snatchers', 'The Adventures of Pluto Nash', 'Sixteen Candles', 'Private Parts', 'The Godfather', 'Le professionnel', 'Das Experiment', ""Charlie's Angels: Full Throttle"", 'The Dukes of Hazzard', 'Body Heat', 'Dracula', 'Van Wilder', '21 Grams', 'The Godfather: Part III', 'Ken Park', 'The Unbearable Lightness of Being', 'Fast Times at Ridgemont High', 'The Virgin Suicides', 'The Three Burials of Melquiades Estrada', 'Rumor Has It...', 'Almost Famous', 'Remember the Titans', 'Midnight Express', 'The Fabulous Baker Boys', 'After Hours', 'Donnie Brasco', 'The Tailor of Panama', 'About Schmidt', 'Tigerland', 'The Man Who Fell to Earth', 'Scary Movie 4', 'Eastern Promises', 'The People vs. Larry Flynt', 'Forgetting Sarah Marshall', 'A Bronx Tale', 'The Long Good Friday', 'Beautiful People', 'Waking the Dead', 'Ali', 'Chasing Liberty', 'The Omen', '25th Hour', 'Se, jie', 'Lock, Stock and Two Smoking Barrels', 'End of Days', 'Breakfast on Pluto', 'The Lookout', 'Starsky & Hutch', 'Knocked Up', 'Saw IV', 'American Pie', 'Hostel', 'Gangs of New York', ""Grandma's Boy"", 'The Last King of Scotland', 'Layer Cake', 'The Girl Next Door', 'American Gangster', 'Scarface', 'Kiss Kiss Bang Bang', 'Les triplettes de Belleville', 'A Night at the Roxbury', 'My Blue Heaven', 'Believers', 'Nineteen Eighty-Four', 'The Juror', 'Single White Female', 'Get Carter', 'The Color of Money', 'The Heartbreak Kid', 'Dorm Daze 2', 'The Cider House Rules', 'Lethal Weapon', 'Midnight Run', 'Who the #$&% Is Jackson Pollock?', 'Le retour de Martin Guerre', 'Fear and Loathing in Las Vegas', 'The Brady Bunch Movie', 'Witness', 'The Spy Who Loved Me', ""You Don't Mess with the Zohan""]"
2048,Dip huet seung hung,"['Pi', 'Gwoemul', 'Batoru rowaiaru', 'Evil Dead II', 'Mulholland Dr.', 'Krull', 'Mou gaan dou', 'Fire in the Sky', 'Flash Gordon', 'Plan 9 from Outer Space', 'Mississippi Burning', 'Fahrenheit 9/11', 'In the Line of Fire', 'Hannibal', 'The Brave Little Toaster', 'Timecop', 'Dip huet seung hung', 'Lat sau san taam', 'The Neverending Story III', '3 Men and a Baby', 'Colossus: The Forbin Project', 'Black Hawk Down', 'American Gangster', 'Barbarella', 'Young Sherlock Holmes', 'Alien Nation', 'The Rocky Horror Picture Show', 'Papurika', 'Happiness', 'The Addams Family', 'Heat', 'Ghost Dog: The Way of the Samurai', 'Insomnia', 'Bad Boys II', 'Jay and Silent Bob Strike Back', 'Forbidden Planet', 'Ultraviolet', 'Serpico', 'Hot Fuzz', 'Lucky Number Slevin', 'The Pink Panther Strikes Again', 'In Bruges', 'Rush Hour 2', 'Karakter', 'Confessions of a Dangerous Mind', 'Banlieue 13', 'Get Carter', 'Three Days of the Condor', 'Chitty Chitty Bang Bang', 'Cellular', 'The Departed', 'Salinui chueok', 'Judge Dredd', 'Lethal Weapon', 'The Polar Express', 'RoboCop', 'The Evil Dead', 'The Medallion', 'Police Academy', 'Revenge of the Nerds II: Nerds in Paradise', 'Fast, Cheap & Out of Control', 'Titan A.E.', 'The Whole Nine Yards', 'Léon', 'Fa yeung nin wa', 'Fracture', 'Police Academy 3: Back in Training', 'Hostage', 'Showtime', 'Dark Star', 'Watership Down', 'S.W.A.T.', 'Red Sonja', 'Donnie Darko', 'Fantasia', 'Fargo']"
2049,Pale Rider,"['The Crow: City of Angels', 'Heaven Can Wait', 'Pale Rider']"
2050,Following,"['The Fast and the Furious', 'The Hours', 'Eternal Sunshine of the Spotless Mind', 'The Squid and the Whale', 'The Limey', 'Stalker', 'Wicker Park', 'Reservoir Dogs', ""Before the Devil Knows You're Dead"", 'Memento', '11:14', 'Stranger Than Fiction', 'Welcome to Collinwood', 'The End of the Affair', '1408', 'Pulp Fiction', 'Shattered Glass', 'Following', 'Amores perros', 'Kafka', 'Under the Tuscan Sun', 'In the Land of Women', 'Fa yeung nin wa', 'Cold Mountain', 'Home Alone', 'Primer', ""Breakfast at Tiffany's"", 'Naked Lunch', 'As Good as It Gets']"
2051,And Now for Something Completely Different,"['Monty Python Live at the Hollywood Bowl', 'And Now for Something Completely Different', 'Hot Shots! Part Deux', 'Punch-Drunk Love', 'Naked Gun 33 1/3: The Final Insult', 'Duck Soup', 'Delicatessen']"
2052,City Lights,"['Police Academy 5: Assignment: Miami Beach', 'The Pink Panther', 'Vegas Vacation', 'Johnny English', 'Modern Times', 'City Lights', 'George of the Jungle', 'Naked Gun 33 1/3: The Final Insult', 'Bio-Dome']"
2053,The Hustler,"['Wish You Were Here', 'Cars', 'The Hustler']"
2054,Tigerland,"[""Carlito's Way"", 'The Last King of Scotland', 'Apollo 13', 'Tigerland', 'Now and Then', 'Saturday Night Fever', 'Private Parts', 'Maid in Manhattan', 'Ali', 'The Recruit', 'Who the #$&% Is Jackson Pollock?', 'Remember the Titans', 'Breakfast on Pluto', 'Starsky & Hutch', 'The Virgin Suicides', 'The Brady Bunch Movie', 'Fear and Loathing in Las Vegas', 'The Spy Who Loved Me', 'Boogie Nights', 'Almost Famous', 'Midnight Express']"
2055,Wall Street,"['Out of Time', 'Reality Bites', 'Mystic Pizza', 'Donnie Brasco', 'Lethal Weapon 3', 'Presumed Innocent', 'Behind Enemy Lines', 'The Accused', 'Shall we dansu?', 'Ray', 'The Squid and the Whale', 'Now and Then', 'Quiz Show', 'The French Connection', 'The Graduate', 'Army of Darkness', 'Sex and the City', 'Open Water', 'In weiter Ferne, so nah!', ""Charlie Wilson's War"", 'Secret Window', ""Mr. Holland's Opus"", ""Baby's Day Out"", 'Love Actually', 'Quills', 'Set It Off', 'Ondskan', 'Made in America', 'A Night at the Roxbury', 'Speed', 'Girl, Interrupted', 'Sister Act 2: Back in the Habit', ""'Breaker' Morant"", 'The Wild', 'Bean', '8 femmes', 'Gorillas in the Mist: The Story of Dian Fossey', 'Never Been Kissed', 'Antwone Fisher', 'The Great Train Robbery', '21', 'Chariots of Fire', 'Conquest of the Planet of the Apes', 'Dreamer: Inspired by a True Story', 'Lawn Dogs', 'United 93', '21 Grams', ""We Don't Live Here Anymore"", 'My Life Without Me', 'Wall Street', 'Not Without My Daughter', 'Fitzcarraldo', 'Finding Neverland', 'Dumb & Dumber', 'Menace II Society', 'Le retour de Martin Guerre', 'Crimes and Misdemeanors', 'Buffy the Vampire Slayer', 'In the Name of the Father', 'The Brady Bunch Movie', 'The Next Karate Kid', 'The Whole Nine Yards', 'Lean on Me', 'Into the Wild', 'In America', 'Eight Men Out', 'The Wedding Singer', 'Desperately Seeking Susan', 'Alive', 'North Country', 'Closer']"
2056,Frailty,"['The Sixth Sense', 'Scream 3', 'Jeepers Creepers', 'The Hitcher', 'M', 'Donnie Brasco', 'The Usual Suspects', 'Frenzy', 'A Nightmare on Elm Street', 'Scream', 'Sweeney Todd: The Demon Barber of Fleet Street', 'Friday the 13th Part 2', 'Haute tension', ""Child's Play 3"", 'Manhunter', 'The Skeleton Key', 'The Frighteners', 'The Silence of the Lambs', 'Red Dragon', 'Taking Lives', 'Cypher', 'Frequency', 'Mr. Brooks', ""Child's Play 2"", 'Death Proof', 'The Bone Collector', 'Snakes on a Plane', 'Saw II', 'Saw', 'Friday the 13th', 'Kiss the Girls', 'The Cell', 'The Others', 'Constantine', 'Hellboy', 'Les diaboliques', 'Fallen', 'Sleuth', 'Copycat', 'Proof', 'Urban Legends: Final Cut', 'Fight Club', 'Zodiac', 'Malice', 'Natural Born Killers', 'Identity', 'After the Sunset', 'Deathtrap', 'Halloween 5', 'The Bourne Ultimatum', 'Frailty']"
2057,Lenny,"['DysFunktional Family', 'Fiddler on the Roof', 'La vita è bella', 'Europa Europa', 'Dead Ringers', 'Blue Collar Comedy Tour: The Movie', 'Crazy/Beautiful', 'Lenny', 'Europa', 'Lord of War', 'Requiem for a Dream', 'Kindergarten Cop', 'Cabaret', 'Everything Is Illuminated']"
2058,Narc,"['The Limey', 'Sea of Love', 'Bad Boys', 'In a Lonely Place', 'Quiz Show', 'Sister Act', 'Alien Nation', ""Don't Say a Word"", 'Gosford Park', 'In the Valley of Elah', 'Reservation Road', 'Narc', 'The Pelican Brief', 'Ringu', 'JFK', 'Charade', 'The Conversation', 'The Constant Gardener', ""The General's Daughter"", 'Fletch', 'Touch of Evil', 'Sleepy Hollow', 'Star Wreck: In the Pirkinning']"
2059,Boyz n the Hood,"['Juice', 'Velvet Goldmine', 'War of the Buttons', 'Shallow Grave', 'Mrs Brown', 'Total Eclipse', 'Housekeeping', 'The Ladykillers', 'Trainspotting', 'Above the Rim', 'The Blue Lagoon', 'BASEketball', 'Hurlyburly', 'Dead Presidents', 'The Da Vinci Code', '2 Days in Paris', 'Forgetting Sarah Marshall', 'Paid in Full', 'Titus', ""A Knight's Tale"", 'Transamerica', 'The Woodsman', 'Gallipoli', 'Kinsey', 'Dogville', 'Lethal Weapon', 'Menace II Society', 'In the Name of the Father', 'Mystery, Alaska', 'Angel Heart', 'Matador', 'Steel Magnolias', 'Boyz n the Hood', 'The Quiet Earth']"
